date,flua.pH1,qmflua,qmflub,qmtotal,qmpos
1/3/2004,0,4,0,59,4
1/10/2004,0,4,0,64,4
1/17/2004,0,6,0,66,6
1/24/2004,0,4,0,40,4
1/31/2004,0,10,1,88,11
2/7/2004,0,9,0,118,9
2/14/2004,0,23,0,128,23
2/21/2004,0,31,4,170,35
2/28/2004,0,31,0,151,31
3/6/2004,0,46,1,160,47
3/13/2004,0,39,0,153,39
3/20/2004,0,23,0,171,23
3/27/2004,0,25,0,140,25
4/3/2004,0,29,0,131,29
4/10/2004,0,15,0,89,15
4/17/2004,0,13,0,109,13
4/24/2004,0,13,0,114,13
5/1/2004,0,16,0,119,16
5/8/2004,0,11,1,112,12
5/15/2004,0,8,1,96,9
5/22/2004,0,6,0,92,6
5/29/2004,0,14,0,95,14
6/5/2004,0,12,0,111,12
6/12/2004,0,13,0,108,13
6/19/2004,0,12,1,115,13
6/26/2004,0,9,1,113,10
7/3/2004,0,10,0,98,10
7/10/2004,0,26,1,112,27
7/17/2004,0,48,3,164,51
7/24/2004,0,34,1,139,35
7/31/2004,0,18,2,137,20
8/7/2004,0,23,3,137,26
8/14/2004,0,23,2,133,25
8/21/2004,0,31,9,180,40
8/28/2004,0,13,3,118,16
9/4/2004,0,12,4,124,16
9/11/2004,0,9,0,139,9
9/18/2004,0,12,3,152,15
9/25/2004,0,5,3,125,8
10/2/2004,0,0,0,127,0
10/9/2004,0,1,0,115,1
10/16/2004,0,0,0,101,0
10/23/2004,0,2,1,85,3
10/30/2004,0,1,1,118,2
11/6/2004,0,1,0,111,1
11/13/2004,0,1,0,113,1
11/20/2004,0,0,0,120,0
11/27/2004,0,2,2,159,4
12/4/2004,0,1,0,118,1
12/11/2004,0,0,0,117,0
12/18/2004,0,0,0,105,0
12/25/2004,0,2,0,124,2
1/1/2005,0,1,0,103,1
1/8/2005,0,1,1,110,2
1/15/2005,0,1,0,96,1
1/22/2005,0,0,1,118,1
1/29/2005,0,6,4,149,10
2/5/2005,0,4,4,102,8
2/12/2005,0,5,1,105,6
2/19/2005,0,6,4,120,10
2/26/2005,0,7,9,113,16
3/5/2005,0,9,5,126,14
3/12/2005,0,21,17,193,38
3/19/2005,0,19,12,219,31
3/26/2005,0,13,13,192,26
4/2/2005,0,13,6,199,19
4/9/2005,0,9,3,189,12
4/16/2005,0,30,7,210,37
4/23/2005,0,42,6,282,48
4/30/2005,0,29,7,206,36
5/7/2005,0,36,2,297,38
5/14/2005,0,55,5,288,60
5/21/2005,0,74,2,295,76
5/28/2005,0,101,1,357,102
6/4/2005,0,75,4,335,79
6/11/2005,0,43,6,291,49
6/18/2005,0,35,2,260,37
6/25/2005,0,20,4,260,24
7/2/2005,0,15,3,220,18
7/9/2005,0,7,1,187,8
7/16/2005,0,8,1,288,9
7/23/2005,0,7,2,194,9
7/30/2005,0,1,5,185,6
8/6/2005,0,3,0,192,3
8/13/2005,0,2,0,156,2
8/20/2005,0,2,1,130,3
8/27/2005,0,5,2,161,7
9/3/2005,0,2,0,141,2
9/10/2005,0,0,1,139,1
9/17/2005,0,0,0,149,0
9/24/2005,0,1,3,170,4
10/1/2005,0,0,1,168,1
10/8/2005,0,0,1,169,1
10/15/2005,0,0,1,190,1
10/22/2005,0,0,0,208,0
10/29/2005,0,0,1,205,1
11/5/2005,0,0,1,240,1
11/12/2005,0,1,1,218,2
11/19/2005,0,0,1,212,1
11/26/2005,0,4,1,199,5
12/3/2005,0,3,0,217,3
12/10/2005,0,2,0,198,2
12/17/2005,0,2,0,195,2
12/24/2005,0,3,1,208,4
12/31/2005,0,3,4,184,7
1/7/2006,0,4,2,83,6
1/14/2006,0,3,4,91,7
1/21/2006,0,9,7,145,16
1/28/2006,0,7,5,118,12
2/4/2006,0,9,12,136,21
2/11/2006,0,10,8,143,18
2/18/2006,0,13,8,144,21
2/25/2006,0,9,10,139,19
3/4/2006,0,13,8,151,21
3/11/2006,0,22,20,204,42
3/18/2006,0,7,16,153,23
3/25/2006,0,9,6,163,15
4/1/2006,0,5,1,151,6
4/8/2006,0,13,3,168,16
4/15/2006,0,7,0,165,7
4/22/2006,0,2,2,119,4
4/29/2006,0,6,4,142,10
5/6/2006,0,5,1,119,6
5/13/2006,0,10,3,153,13
5/20/2006,0,9,0,142,9
5/27/2006,0,7,3,128,10
6/3/2006,0,8,1,120,9
6/10/2006,0,19,2,143,21
6/17/2006,0,29,3,179,32
6/24/2006,0,52,0,219,52
7/1/2006,0,33,0,168,33
7/8/2006,0,36,0,178,36
7/15/2006,0,18,0,159,18
7/22/2006,0,12,0,111,12
7/29/2006,0,14,0,135,14
8/5/2006,0,5,1,119,6
8/12/2006,0,8,0,106,8
8/19/2006,0,5,0,117,5
8/26/2006,0,0,0,92,0
9/2/2006,0,0,0,103,0
9/9/2006,0,4,0,93,4
9/16/2006,0,5,0,125,5
9/23/2006,0,6,0,103,6
9/30/2006,0,1,0,115,1
10/7/2006,0,3,0,140,3
10/14/2006,0,1,0,111,1
10/21/2006,0,0,2,118,2
10/28/2006,0,0,0,146,0
11/4/2006,0,1,0,147,1
11/11/2006,0,0,0,108,0
11/18/2006,0,0,0,108,0
11/25/2006,0,0,0,116,0
12/2/2006,0,1,0,132,1
12/9/2006,0,0,0,105,0
12/16/2006,0,0,1,112,1
12/23/2006,0,0,0,118,0
12/30/2006,0,0,0,124,0
1/6/2007,0,1,0,141,1
1/13/2007,0,4,1,141,5
1/20/2007,0,9,2,152,11
1/27/2007,0,11,1,145,12
2/3/2007,0,20,3,178,23
2/10/2007,0,35,5,220,40
2/17/2007,0,41,0,199,41
2/24/2007,0,49,6,218,55
3/3/2007,0,36,1,221,37
3/10/2007,0,34,8,223,42
3/17/2007,0,43,6,237,49
3/24/2007,0,18,5,195,23
3/31/2007,0,23,2,273,25
4/7/2007,0,25,7,223,32
4/14/2007,0,11,3,204,14
4/21/2007,0,11,6,215,17
4/28/2007,0,6,1,156,7
5/5/2007,0,8,5,188,13
5/12/2007,0,7,9,199,16
5/19/2007,0,6,7,172,13
5/26/2007,0,6,7,170,13
6/2/2007,0,8,8,164,16
6/9/2007,0,10,4,163,14
6/16/2007,0,24,7,199,31
6/23/2007,0,49,11,270,60
6/30/2007,0,48,13,243,61
7/7/2007,0,43,11,289,54
7/14/2007,0,39,16,302,55
7/21/2007,0,18,8,241,26
7/28/2007,0,19,7,234,26
8/4/2007,0,5,7,194,12
8/11/2007,0,3,2,202,5
8/18/2007,0,4,6,188,10
8/25/2007,0,1,2,187,3
9/1/2007,0,1,7,222,8
9/8/2007,0,2,4,179,6
9/15/2007,0,5,1,197,6
9/22/2007,0,3,6,195,9
9/29/2007,0,4,4,186,8
10/6/2007,0,2,4,165,6
10/13/2007,0,1,2,129,3
10/20/2007,0,0,1,154,1
10/27/2007,0,1,3,162,4
11/3/2007,0,0,4,162,4
11/10/2007,0,0,1,188,1
11/17/2007,0,0,0,206,0
11/24/2007,0,0,1,147,1
12/1/2007,0,0,1,206,1
12/8/2007,0,0,2,198,2
12/15/2007,0,0,5,223,5
12/22/2007,0,1,3,182,4
12/29/2007,0,4,3,173,7
1/5/2008,0,0,2,153,2
1/12/2008,0,4,7,185,11
1/19/2008,0,3,6,156,9
1/26/2008,0,3,1,178,4
2/2/2008,0,2,4,163,6
2/9/2008,0,8,9,198,17
2/16/2008,0,17,11,256,28
2/23/2008,0,13,21,280,34
3/1/2008,0,20,12,267,32
3/8/2008,0,24,32,359,56
3/15/2008,0,22,36,466,58
3/22/2008,0,12,23,370,35
3/29/2008,0,7,13,232,20
4/5/2008,0,5,4,212,9
4/12/2008,0,6,1,231,7
4/19/2008,0,3,7,197,10
4/26/2008,0,3,5,188,8
5/3/2008,0,0,1,224,1
5/10/2008,0,0,3,213,3
