week,year,month,Date,FluB ,FluA,Seasonal H1,Seasonal H3,ph1n1,Total NPA 
1,2008,1,30/12-5/1/08,2,0,0,0,0,153
2,2008,1,6/1-12/1,7,4,1,3,0,181
3,2008,1,13/1-19/1,6,3,2,1,0,149
4,2008,1,20/1-26/1,1,3,3,0,0,174
5,2008,2,27/1-2/2,4,2,1,1,0,157
6,2008,2,3/2-9/2,9,4,2,2,0,191
7,2008,2,10/2-16/2,11,17,10,7,0,252
8,2008,2,17/2-23/2,21,9,6,3,0,276
9,2008,3,24/2-1/3,12,19,10,9,0,240
10,2008,3,2/3-8/3,32,23,15,8,0,315
11,2008,3,9/3-15/3,39,22,13,9,0,476
12,2008,3,16/3-22/3,22,11,7,4,0,363
13,2008,3,23/3-29/3,13,2,1,1,0,210
14,2008,4,30/3-5/4,3,4,2,2,0,210
15,2008,4,6/4-12/4,1,5,4,1,0,226
16,2008,4,13/4-19/4,8,5,4,1,0,202
17,2008,4,20/4-26/4,3,3,2,1,0,204
18,2008,5,27/4-3/5,1,0,0,0,0,230
19,2008,5,4/5-10/5,3,0,0,0,0,209
20,2008,5,11/5-17/5,1,3,1,2,0,164
21,2008,5,18/5-24/5,3,3,0,3,0,173
22,2008,5,25/5-31/5,0,2,2,0,0,183
23,2008,6,1/6-7/6,1,4,1,3,0,157
24,2008,6,8/6-14/6,2,5,1,4,0,208
25,2008,6,15/6-21/6,6,4,3,1,0,215
26,2008,6,22/6-28/6,2,8,7,1,0,191
27,2008,7,29/6-5/7,1,6,2,4,0,165
28,2008,7,6/7-12/7,5,24,10,14,0,219
29,2008,7,13/7-19/7,2,39,22,17,0,214
30,2008,7,20/7-26/7,3,39,14,25,0,297
31,2008,8,27/7-2/8,5,45,18,27,0,280
32,2008,8,3/8-9/8,6,37,20,17,0,259
33,2008,8,10/8-16/8,2,11,4,7,0,237
34,2008,8,17/8-23/8,1,15,4,11,0,235
35,2008,8,24/8-30/8,1,15,5,10,0,228
36,2008,9,31/8-6/9,3,9,2,7,0,210
37,2008,9,7/9-13/9,4,8,2,6,0,255
38,2008,9,14/9-20/9,1,9,3,6,0,210
39,2008,9,21/9-27/9,1,3,0,3,0,233
40,2008,10,28/9-4/10,0,7,2,5,0,205
41,2008,10,5/10-11/10,1,3,0,3,0,162
42,2008,10,12/10-18/10,0,0,0,0,0,162
43,2008,10,19/10-25/10,2,0,0,0,0,185
44,2008,11,26/10-1/11,0,1,0,1,0,190
45,2008,11,2/11-8/11,0,1,1,0,0,182
46,2008,11,9/11-15/11,0,1,1,0,0,196
47,2008,11,16/11-22/11,0,0,0,0,0,234
48,2008,11,23/11-29/11,1,1,0,1,0,195
49,2008,12,30/11-6/12,0,1,1,0,0,186
50,2008,12,7/12-13/12,0,0,0,0,0,196
51,2008,12,14/12/08-20/12/08,2,1,0,1,0,216
52,2008,12,21/12/08-27/12/08,0,1,1,0,0,227
1,2009,1,28/12/08-3/1/09,1,4,4,0,0,213
2,2009,1,4/1/09-10/1/09,2,3,1,2,0,186
3,2009,1,11/1/09-17/1/09,1,7,2,5,0,189
4,2009,1,18/1/09-24/1/09,2,21,16,5,0,215
5,2009,1,25/1/09-31/1/09,5,38,32,6,0,220
6,2009,2,1/2/09-7/2/09,0,51,41,10,0,268
7,2009,2,8/2/09-14/2/09,2,33,26,7,0,270
8,2009,2,15/2/09-21/2/09,0,40,35,5,0,248
9,2009,2,22/2/09-28/2/09,2,25,19,6,0,229
10,2009,3,1/3/09-7/3/09,1,17,14,3,0,205
11,2009,3,8/3/09-14/3/09,1,8,7,1,0,212
12,2009,3,15/3/09-21/3/09,1,9,5,4,0,185
13,2009,3,22/3/09-28/3/09,1,7,4,3,0,204
14,2009,4,29/3/09-4/4/09,1,4,3,1,0,180
15,2009,4,5/4/09-11/4/09,1,4,1,3,0,223
16,2009,4,12/4/09-18/4/09,1,1,1,0,0,230
17,2009,4,19/4/09-25/4/09,0,1,1,0,0,241
