"hhID","familysize","house_size"
9101,4,400
9102,3,900
9103,4,400
9104,5,400
9105,3,500
9106,4,700
9107,3,3
9108,4,590
9109,2,400
9110,5,300
9111,5,1150
9112,4,700
9113,3,NA
9114,3,500
9115,3,300
9116,4,350
9117,5,700
9118,3,350
9119,4,750
9120,3,700
9121,4,700
9122,5,400
9123,5,350
9124,2,150
9125,3,230
9126,4,500
9127,4,400
9128,4,750
9129,4,400
9130,3,680
9131,3,500
9132,4,650
9133,4,700
9134,2,450
9135,2,100
9136,4,700
9137,3,703
9138,4,300
9139,4,1000
9140,4,400
9141,3,100
9142,2,500
9143,4,420
9144,3,100
9145,4,500
9146,2,700
9147,3,400
9148,4,350
9149,4,450
9150,4,350
9151,3,800
9152,3,500
9153,3,565
9154,5,700
9155,3,490
9156,3,200
9157,3,750
9158,5,1025
9159,5,1600
9160,4,300
9161,2,100
9162,4,750
9163,5,950
9164,4,700
9165,4,400
9166,4,900
9167,4,350
9168,3,300
9169,3,900
9170,4,850
9171,4,300
9172,2,NA
9173,3,300
9174,3,550
9175,4,500
9176,3,400
9177,3,900
9178,2,500
9179,5,200
9180,3,544
9181,3,200
9182,4,700
9183,4,500
9184,4,400
9185,6,350
9186,4,400
9187,4,800
9188,3,320
9189,3,310
9190,4,800
9191,4,500
9192,4,500
9193,5,700
9194,2,532
9195,4,600
9196,3,900
9197,2,300
9198,3,300
9199,3,350
9200,2,320
9201,4,NA
9202,3,700
9203,4,835
9204,4,450
9205,3,700
9206,4,700
9207,5,550
9208,4,300
9209,4,450
9210,6,300
9211,2,320
9212,4,400
9213,4,300
9214,5,500
9215,3,900
9216,4,500
9217,6,700
9218,3,480
9219,3,580
