Year,Week,Week ending,A/H1N1.proxy,A/H3N2.proxy,A/H1N1pdm.proxy,A.proxy,B.proxy
1998,1,03/01/1998,0.279751847,8.672307269,0,8.952059117,0
1998,2,10/01/1998,0.466619169,5.210580715,0,5.677199884,0
1998,3,17/01/1998,0.259668996,6.167138644,0,6.426807639,0.129834498
1998,4,24/01/1998,0.417815125,10.77963023,0,11.19744536,0
1998,5,31/01/1998,0.722804481,12.39093397,0,13.11373845,0
1998,6,07/02/1998,0.172230544,14.03678935,0,14.20901989,0
1998,7,14/02/1998,0.355338437,19.81011789,0,20.16545633,0.177669219
1998,8,21/02/1998,0.422374307,24.32876007,0,24.75113438,0.084474861
1998,9,28/02/1998,0.082045771,35.0335441,0,35.11558987,0.164091541
1998,10,07/03/1998,0.424218961,39.34630861,0,39.77052758,0.10605474
1998,11,14/03/1998,0.194002874,28.51842244,0,28.71242531,0.291004311
1998,12,21/03/1998,0.321747035,22.7367905,0,23.05853753,0.428996047
1998,13,28/03/1998,0,17.06809376,0,17.06809376,0.661554022
1998,14,04/04/1998,0,10.35723571,0,10.35723571,0.183313906
1998,15,11/04/1998,0.135783613,6.381829798,0,6.517613411,0.407350838
1998,16,18/04/1998,0,3.939495269,0,3.939495269,0.135844664
1998,17,25/04/1998,0,1.438170367,0,1.438170367,0.319593415
1998,18,02/05/1998,0,2.62295082,0,2.62295082,0.327868852
1998,19,09/05/1998,0,4.41872874,0,4.41872874,0.378748178
1998,20,16/05/1998,0,4.798458264,0,4.798458264,0.423393376
1998,21,23/05/1998,0,4.117939953,0,4.117939953,0.605579405
1998,22,30/05/1998,0,5.714797044,0,5.714797044,0.112054844
1998,23,06/06/1998,0,5.193912084,0,5.193912084,0.633403913
1998,24,13/06/1998,0,2.918050941,0,2.918050941,0.470653378
1998,25,20/06/1998,0,4.957413298,0,4.957413298,0.777633459
1998,26,27/06/1998,0.083335094,4.583430166,0,4.66676526,1.250026409
1998,27,04/07/1998,0,5.054923558,0,5.054923558,0.745808394
1998,28,11/07/1998,0,4.4789239,0,4.4789239,1.081119562
1998,29,18/07/1998,0,6.601017338,0,6.601017338,2.068975583
1998,30,25/07/1998,0,3.948049857,0,3.948049857,1.10545396
1998,31,01/08/1998,0,6.012819786,0,6.012819786,1.474842589
1998,32,08/08/1998,0,4.341897075,0,4.341897075,2.661162723
1998,33,15/08/1998,0,2.434087094,0,2.434087094,2.004542313
1998,34,22/08/1998,0,2.193463479,0,2.193463479,0.731154493
1998,35,29/08/1998,0,2.724285818,0,2.724285818,1.539813723
1998,36,05/09/1998,0,1.854351456,0,1.854351456,0.618117152
1998,37,12/09/1998,0,1.486935141,0,1.486935141,0.446080542
1998,38,19/09/1998,0,0.988060609,0,0.988060609,0.564606062
1998,39,26/09/1998,0,0.552701736,0,0.552701736,0.138175434
1998,40,03/10/1998,0.168664869,0.843324345,0,1.011989214,0.168664869
1998,41,10/10/1998,0,0.142086325,0,0.142086325,0.284172649
1998,42,17/10/1998,0,0.184479753,0,0.184479753,0.184479753
1998,43,24/10/1998,0,0.356555129,0,0.356555129,0.178277564
1998,44,31/10/1998,0,0,0,0,0
1998,45,07/11/1998,0,0,0,0,0.200318175
1998,46,14/11/1998,0,0.404248076,0,0.404248076,0
1998,47,21/11/1998,0.205688347,0.205688347,0,0.411376693,0
1998,48,28/11/1998,0,0.212146123,0,0.212146123,0.212146123
1998,49,05/12/1998,0,0.671147764,0,0.671147764,0.223715921
1998,50,12/12/1998,0,0.691224209,0,0.691224209,0
1998,51,19/12/1998,0,0.188423022,0,0.188423022,0.188423022
1998,52,26/12/1998,0,0.714592268,0,0.714592268,0
1998,53,02/01/1999,0,3.330721003,0,3.330721003,0.195924765
1999,1,09/01/1999,0,7.145997629,0,7.145997629,0.198499934
1999,2,16/01/1999,0.189696387,11.19208681,0,11.3817832,0.379392773
1999,3,23/01/1999,0,27.491539,0,27.491539,0.808574676
1999,4,30/01/1999,0,41.81920086,0,41.81920086,0.74345246
1999,5,06/02/1999,0,34.91151372,0,34.91151372,0.935129832
1999,6,13/02/1999,0,33.12713753,0,33.12713753,0.504474176
1999,7,20/02/1999,0,28.61962813,0,28.61962813,1.612373416
1999,8,27/02/1999,0,11.11957596,0,11.11957596,0.722050387
1999,9,06/03/1999,0,3.290867893,0,3.290867893,0.493630184
1999,10,13/03/1999,0,2.477691892,0,2.477691892,1.321435676
1999,11,20/03/1999,0,2.354964115,0,2.354964115,1.850328947
1999,12,27/03/1999,0.176594951,2.825519214,0,3.002114165,3.531899018
1999,13,03/04/1999,0.277218869,1.801922647,0,2.079141516,2.633579253
1999,14,10/04/1999,0.146956599,1.028696192,0,1.175652791,1.763479186
1999,15,17/04/1999,0,3.607567485,0,3.607567485,2.538658601
1999,16,24/04/1999,0,0.951120292,0,0.951120292,3.011880926
1999,17,01/05/1999,0,2.010888413,0,2.010888413,2.629623309
1999,18,08/05/1999,0,1.332594926,0,1.332594926,2.301754872
1999,19,15/05/1999,0,0.368021645,0,0.368021645,1.349412699
1999,20,22/05/1999,0,1.879034397,0,1.879034397,0.939517199
1999,21,29/05/1999,0,1.169239994,0,1.169239994,1.558986659
1999,22,05/06/1999,0,2.232208185,0,2.232208185,1.838289094
1999,23,12/06/1999,0,0.655352986,0,0.655352986,1.048564777
1999,24,19/06/1999,0,0.772479282,0,0.772479282,1.081470994
1999,25,26/06/1999,0,2.709616317,0,2.709616317,1.295903456
1999,26,03/07/1999,0,2.568612852,0,2.568612852,1.284306426
